Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2015-01-02,2058.199951171875,2072.360107421875,2046.0400390625,2058.89990234375,2708700000
2015-01-05,2020.5799560546875,2054.43994140625,2017.3399658203125,2054.43994140625,3799120000
2015-01-06,2002.6099853515625,2030.25,1992.43994140625,2022.1500244140625,4460110000
2015-01-07,2025.9000244140625,2029.6099853515625,2005.550048828125,2005.550048828125,3805480000
2015-01-08,2062.139892578125,2064.080078125,2030.6099853515625,2030.6099853515625,3934010000
2015-01-09,2044.81005859375,2064.429931640625,2038.3299560546875,2063.449951171875,3364140000
2015-01-12,2028.260009765625,2049.300048828125,2022.5799560546875,2046.1300048828125,3456460000
2015-01-13,2023.030029296875,2056.929931640625,2008.25,2031.5799560546875,4107300000
2015-01-14,2011.27001953125,2018.4000244140625,1988.43994140625,2018.4000244140625,4378680000
2015-01-15,1992.6700439453125,2021.3499755859375,1991.469970703125,2013.75,4276720000
2015-01-16,2019.4200439453125,2020.4599609375,1988.1199951171875,1992.25,4056410000
2015-01-20,2022.550048828125,2028.93994140625,2004.489990234375,2020.760009765625,3944340000
2015-01-21,2032.1199951171875,2038.2900390625,2012.0400390625,2020.18994140625,3730070000
2015-01-22,2063.14990234375,2064.6201171875,2026.3800048828125,2034.300048828125,4176050000
2015-01-23,2051.820068359375,2062.97998046875,2050.5400390625,2062.97998046875,3573560000
2015-01-26,2057.090087890625,2057.6201171875,2040.969970703125,2050.419921875,3465760000
2015-01-27,2029.550048828125,2047.8599853515625,2019.9100341796875,2047.8599853515625,3329810000
2015-01-28,2002.1600341796875,2042.489990234375,2001.489990234375,2032.3399658203125,4067530000
2015-01-29,2021.25,2024.6400146484375,1989.1800537109375,2002.449951171875,4127140000
2015-01-30,1994.989990234375,2023.3199462890625,1993.3800048828125,2019.3499755859375,4568650000
2015-02-02,2020.8499755859375,2021.6600341796875,1980.9000244140625,1996.6700439453125,4008330000
2015-02-03,2050.030029296875,2050.300048828125,2022.7099609375,2022.7099609375,4615900000
2015-02-04,2041.510009765625,2054.739990234375,2036.719970703125,2048.860107421875,4141920000
2015-02-05,2062.52001953125,2063.550048828125,2043.449951171875,2043.449951171875,3821990000
2015-02-06,2055.469970703125,2072.39990234375,2049.969970703125,2062.280029296875,4232970000
2015-02-09,2046.739990234375,2056.159912109375,2041.8800048828125,2053.469970703125,3549540000
2015-02-10,2068.590087890625,2070.860107421875,2048.6201171875,2049.3798828125,3669850000
2015-02-11,2068.530029296875,2073.47998046875,2057.989990234375,2068.550048828125,3596860000
2015-02-12,2088.47998046875,2088.530029296875,2069.97998046875,2069.97998046875,3788350000
2015-02-13,2096.989990234375,2097.030029296875,2086.699951171875,2088.780029296875,3527450000
2015-02-17,2100.340087890625,2101.300048828125,2089.800048828125,2096.469970703125,3361750000
