Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2020-01-02,3257.85009765625,3258.139892578125,3235.530029296875,3244.669921875,3459930000
2020-01-03,3234.85009765625,3246.14990234375,3222.340087890625,3226.360107421875,3484700000
2020-01-06,3246.280029296875,3246.840087890625,3214.639892578125,3217.550048828125,3702460000
2020-01-07,3237.179931640625,3244.909912109375,3232.429931640625,3241.860107421875,3435910000
2020-01-08,3253.050048828125,3267.070068359375,3236.669921875,3238.590087890625,3726840000
2020-01-09,3274.699951171875,3275.580078125,3263.669921875,3266.030029296875,3641230000
2020-01-10,3265.35009765625,3282.989990234375,3260.860107421875,3281.81005859375,3214580000
2020-01-13,3288.1298828125,3288.1298828125,3268.429931640625,3271.1298828125,3459390000
2020-01-14,3283.14990234375,3294.25,3277.18994140625,3285.35009765625,3687620000
2020-01-15,3289.2900390625,3298.659912109375,3280.68994140625,3282.27001953125,3721490000
2020-01-16,3316.81005859375,3317.110107421875,3302.820068359375,3302.969970703125,3540580000
2020-01-17,3329.6201171875,3329.8798828125,3318.860107421875,3323.659912109375,3726220000
2020-01-21,3320.7900390625,3329.7900390625,3316.610107421875,3321.030029296875,4104840000
2020-01-22,3321.75,3337.77001953125,3320.0400390625,3330.02001953125,3623780000
2020-01-23,3325.5400390625,3326.8798828125,3301.8701171875,3315.77001953125,3766710000
2020-01-24,3295.469970703125,3333.179931640625,3281.530029296875,3333.10009765625,3708780000
2020-01-27,3243.6298828125,3258.85009765625,3234.5,3247.159912109375,3831050000
2020-01-28,3276.239990234375,3285.780029296875,3253.219970703125,3255.35009765625,3531570000
2020-01-29,3273.39990234375,3293.469970703125,3271.889892578125,3289.4599609375,3600250000
2020-01-30,3283.659912109375,3285.909912109375,3242.800048828125,3256.449951171875,3790350000
2020-01-31,3225.52001953125,3282.330078125,3214.679931640625,3282.330078125,4529700000
2020-02-03,3248.919921875,3268.43994140625,3235.659912109375,3235.659912109375,3760460000
2020-02-04,3297.590087890625,3306.919921875,3280.610107421875,3280.610107421875,3996900000
2020-02-05,3334.68994140625,3337.580078125,3313.75,3324.909912109375,4121480000
2020-02-06,3345.780029296875,3347.9599609375,3334.389892578125,3344.919921875,3887250000
2020-02-07,3327.7099609375,3341.419921875,3322.1201171875,3335.5400390625,3733920000
2020-02-10,3352.090087890625,3352.260009765625,3317.77001953125,3318.280029296875,3462730000
2020-02-11,3357.75,3375.6298828125,3352.719970703125,3365.8701171875,3762940000
2020-02-12,3379.449951171875,3381.469970703125,3369.719970703125,3370.5,3930910000
2020-02-13,3373.93994140625,3385.090087890625,3360.52001953125,3365.89990234375,3500890000
2020-02-14,3380.159912109375,3380.68994140625,3366.14990234375,3378.080078125,3419700000
2020-02-18,3370.2900390625,3375.010009765625,3355.610107421875,3369.0400390625,3750400000
